name,target_rva,target_size,source,notes
??1Gen_dtor_0074a560@@UAE@XZ,0x00746F00,19,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0074a730@@UAE@XZ,0x00746F20,19,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0074a650@@UAE@XZ,0x00746F40,19,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??$__copy_backward@PAUGen_t_0074ab00_p128pod@@PAU1@H@_STL@@YAPAUGen_t_0074ab00_p128pod@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z,0x007495D0,78,Code/gen_small/tgrid_135.cpp,reloc-derived;call-sites=1;identity=generated
?blendTileData@BFMERetailWorldHeightMap@@QAEXPAUTBlendTileInfo@@H@Z,0x0074A240,91,Code/GameEngineDevice/Source/W3DDevice/GameClient/WorldHeightMap.cpp,reloc-derived;call-sites=2;identity=real
?_M_insert_overflow@?$vector@EV?$allocator@E@_STL@@@_STL@@IAEXPAEABEABU__true_type@2@I_N@Z,0x0074D6F0,263,Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert_overflow@?$vector@UGen_t_0074e320_p16pod@@V?$allocator@UGen_t_0074e320_p16pod@@@_STL@@@_STL@@IAEXPAUGen_t_0074e320_p16pod@@ABU3@ABU__false_type@2@I_N@Z,0x0074DB50,271,Code/gen_small/tgrid_121.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0074e2e0@@UAE@XZ,0x0074DE60,919,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00750350@@UAE@XZ,0x00750230,11,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DBuffDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x00750240,36,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DBuffDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007504c0@@UAE@XZ,0x007502D0,11,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DBuffDrawModuleData@@QAE@XZ,0x00750410,17,Code/GameEngine/Source/Common/Thing/W3DBuffDrawFriendNewModuleDataThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_007504f0@@UAE@XZ,0x00750440,73,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00750c90@@UAE@XZ,0x00750730,246,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007512f0@@UAE@XZ,0x007510D0,147,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DFloorDrawModuleData@@QAE@XZ,0x007516C0,32,Code/GameEngine/Source/Common/Thing/W3DFloorDrawFriendNewModuleDataThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00751770@@UAE@XZ,0x00751700,11,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DFloorDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x007517A0,50,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DFloorDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00751a40@@UAE@XZ,0x007518D0,120,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DHordeModelDrawModuleData@@QAE@XZ,0x00751C30,145,Code/GameEngine/Source/Common/Thing/W3DHordeModelDrawFriendNewModuleDataThunk.cpp,reloc-derived;call-sites=1;identity=real
??0W3DHordeModelDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x00751CF0,65,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DHordeModelDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00752fc0@@UAE@XZ,0x00751E80,40,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??$__copy@PAVProductionPrerequisite@@PAV1@H@_STL@@YAPAVProductionPrerequisite@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z,0x00753280,99,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,reloc-derived;call-sites=2;identity=real
??0?$pair@$$CBUGen_t_007543c0_k4@@UGen_t_007543c0_p12cd@@@_STL@@QAE@ABU01@@Z,0x00753C60,76,Code/gen_small/tgrid_121.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0076b520@@UAE@XZ,0x00753E80,200,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0?$pair@$$CBUGen_t_00770a90_k4@@UGen_t_00770a90_p12cd@@@_STL@@QAE@ABU01@@Z,0x00754D00,110,Code/gen_small/tgrid_122.cpp,reloc-derived;call-sites=1;identity=generated
?_M_insert_overflow@?$vector@UAnimSet@GenericObjectCreationNugget@@V?$allocator@UAnimSet@GenericObjectCreationNugget@@@_STL@@@_STL@@IAEXPAUAnimSet@GenericObjectCreationNugget@@ABU34@ABU__false_type@2@I_N@Z,0x00755CA0,281,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,reloc-derived;call-sites=1;identity=real
??0SpectreGunshipUpdateModuleData@@QAE@XZ,0x00757960,115,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00757dc0@@UAE@XZ,0x007579F0,73,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00757df0@@UAE@XZ,0x00757A50,191,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
?_M_insert_overflow@?$vector@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@IAEXPAVAsciiString@@ABV3@ABU__false_type@2@I_N@Z,0x00757C70,268,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,reloc-derived;call-sites=1;identity=real
??0W3DLaserDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x00757E70,982,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DLaserDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??0WeaponBonusUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x007583A0,307,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00758860@@UAE@XZ,0x00758580,132,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DLightDrawModuleData@@QAE@XZ,0x00758780,67,Code/GameEngine/Source/Common/Thing/W3DLightDrawFriendNewModuleDataThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00758a90@@UAE@XZ,0x007587E0,73,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00759290@@UAE@XZ,0x00758E40,136,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DPropDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x007592C0,36,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DPropDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00759530@@UAE@XZ,0x00759350,11,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00759670@@UAE@XZ,0x00759480,73,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DQuadrupedDraw@@QAE@PAVThing@@PBVModuleData@@@Z,0x00759730,39,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DQuadrupedDrawFriendNewModuleInstanceThunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00759850@@UAE@XZ,0x00759770,18,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
