target_rva,size,literal,reference_source,candidate_function,port
0x009C4B70,160,GenuineIntel,Libraries/Source/WWVegas/WWLib/cpudetect.cpp,CPUDetectClass::Init_Processor_Manufacturer,Code/Libraries/Source/WWVegas/WWLib/cpudetect.cpp
0x00287A50,154,BoneFXUpdate requires BoneFXDamage,GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate.cpp,BoneFXUpdate::onObjectCreated,Code/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate.cpp
0x00664680,153,%d(%d),GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp,MilesAudioManager::audioDebugDisplay,Code/GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp
0x004CBAF0,144,LanGameOptionsFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanGameOptionsMenu.cpp,LanGameOptionsMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanGameOptionsMenu.cpp
0x004AAC50,144,controlBarHidden.wnd,GameEngine/Source/GameClient/GUI/ControlBar/ControlBarPrintPositions.cpp,PrintOffsetsFromControlBarParent,
0x003395A0,140,Script Engine Profiling disabled.,GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,ScriptEngine::getStats,
0x00924FA0,138,MeshGeometryClass::PlaneEq,Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp,MeshGeometryClass::get_planes,Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x004C85B0,137,EstablishConnectionsScreen.wnd:ButtonQuit,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/EstablishConnectionsWindow.cpp,InitEstablishConnectionsDialog,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/EstablishConnectionsWindow.cpp
0x000AFF40,128,Bad delay values for audio event %s,GameEngine/Source/Common/INI/INIAudioEventInfo.cpp,parseDelay,
0x0009CB50,128,LossStreak,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupPlayerInfo.cpp,PopulatePlayerInfoWindows,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupPlayerInfo.cpp
0x0009CAB0,126,LossStreak,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupPlayerInfo.cpp,PopulatePlayerInfoWindows,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupPlayerInfo.cpp
0x0006BCB9,122,Uncaught Exception in GameEngine::update,GameEngine/Source/Common/GameEngine.cpp,GameEngine::execute,Code/GameEngine/Source/Common/GameEngine.cpp
0x0050B9B0,109,WOLWelcomeMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLWelcomeMenu.cpp,WOLWelcomeMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLWelcomeMenu.cpp
