twin_rva,size,source,object_symbol,slot_state
0x009E2250,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x009E2400,16,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??8NodeElement@?$IndexClass@HPAUINIEntry@@@@QBE_NABU01@@Z,unclaimed
0x009E2430,16,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??8NodeElement@?$IndexClass@HPAUINIEntry@@@@QBE_NABU01@@Z,unclaimed
0x009E2440,22,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??MNodeElement@?$IndexClass@HPAUINIEntry@@@@QBE_NABU01@@Z,unclaimed
0x009E25D0,27,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,?Is_Valid@?$Node@PAUINIEntry@@@@QBE_NXZ,unclaimed
0x009E2660,25,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint3D@H@@QAE@HHH@Z,unclaimed
0x009EC140,22,Code/GameEngine/Source/Common/NameKeyGenerator.cpp,??0?$pair@$$CBW4NameKeyType@@PAVBucket@@@_STL@@QAE@ABW4NameKeyType@@ABQAVBucket@@@Z,unclaimed
0x009EC1C0,56,Code/GameEngine/Source/Common/StateMachine.cpp,??$_M_find@I@?$_Rb_tree@IU?$pair@$$CBIPAVState@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVState@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVState@@@_STL@@@2@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBIPAVState@@@_STL@@@1@ABI@Z,unclaimed
0x009ECB20,22,Code/GameEngine/Source/Common/NameKeyGenerator.cpp,??0?$pair@$$CBW4NameKeyType@@PAVBucket@@@_STL@@QAE@ABW4NameKeyType@@ABQAVBucket@@@Z,unclaimed
0x009ECBC0,11,Code/Libraries/Source/WWVegas/WWMath/gridcull.cpp,?Is_Done@GridListIterator@@QAE_NXZ,unclaimed
0x009ECBD0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
